Termo;Descricão Padrão
SDR 21;SDR 21
SDR 26;SDR 26
SDR 33;SDR 33
SDR 41;SDR 41
SDR11;SDR 11
SDR9;SDR 9
SDR7,4;SDR 7,4
SDR6;SDR 6
SDR13,6;SDR 13,6
SDR17;SDR 17
SDR21;SDR 21
SDR26;SDR 26
SDR33;SDR 33
SDR41;SDR 41
SDR 09;SDR 9
SDR 06;SDR 6
PEAD;SDR 11
PE 80;SDR 11
PE 100;SDR 11
