Termo;Descrição Padrão
10 pares;10 Par
11 pares;11 Par
12 pares;12 Par
Lateral;Horizontal
Saída;Horizontal
Saída Simples;Horizontal
Saída Final;Horizontal
Saída Superior;Vertical
Explosivas;Explosão
Caixa de Derivação;Tempo
Caixa, derivação;Tempo
3C#4Mm2+1C#4;4C
3C#10Mm2+1C#10;4C
3C#6Mm2+1C#6;4C
3C#16Mm2+1C#16;4C
3x50mm2 + T#25mm2;4C
(3x120mm2) + T#120mm2;4C
3x50mm2 + T#25mm2;4C
3x70mm2 + T#35mm2;4C
3x240mm2) + T#240mm2;4C
3x35mm2 + T#16mm2 ;4C
3x70mm2 + T#35mm2;4C
 3x95mm2 + T#50mm2;4C
3x120mm2 + T#70mm2;4C
3x120mm2 + T#50mm2;4C
(3x120mm2) + T#120mm2;4C
(3x240mm2) + 2xT#240;5C
4C x 6 mm2 + 1T x 6 mm2;5C
4C x 4 mm2 + 1T x 4 mm2;5C
4C x 16 mm2 + 1T x 16 mm2;5C
4C x 10 mm2 + 1T x 10 mm2;5C
3 X150  mm² + 1 T x  95 mm²;4C
3x#240mm2+T # 120mm2;4C
3 X240  mm² + 1 T x 120 mm²;4C
3 X150 mm² + 1 T x 120 mm²;4C
3 X150 mm² + 1 T x 95 mm²;4C
3x#16mm2+T # 16mm2;4C
3 X70  mm² + 1 T x 35 mm²;4C
3 X70 mm² + 1 T X35 mm²;4C
3 X120 mm² + 1 T 70 mm²;4C
3x#16mm2+T # 16mm2;4C
3x#95mm2+T # 50mm2 ;4C
3 X 35  mm² + 1 T x 16 mm²;4C
3F+1T;4C
3 x 16 mm2 + 16 mm2;4C
3 x 25 mm2 + 25 mm2;4C
3 x 35 mm2 + 35 mm2;4C
1 x 70 mm2 + 35 mm2;2C
1 x 120 mm2 + 70 mm2;2C
1 x 150 mm2 + 95 mm2;2C
3 x 185mm² + 95mm²;4C
3 x 50mm² + 1 x 25mm²;4C
3 x 70mm² + 1 x 35mm²;4C
3x10mm² + 1x10mm²;4C
3x6,0mm² + 1x6,0mm²;4C
3x2,5mm² + 1x2,5mm²;4C
3x4,0mm² + 1x4,0mm²;4C
3 X 10 mm² +10mm2;4C
3 X 2,5 mm² +2,5mm2;4C
3 X 4,0 mm² + 4mm2;4C
3 X 6 mm² +6mm2;4C
3 X 25,0 mm² +16,0mm2;4C
3 X 35,0 mm² +16,0mm2 ;4C
3 X 6,0 mm² + 6,0mm2 ;4C
3 X 70,0 mm² + 35,0mm2;4C
2 X 10,0 mm² +10,0mm2 ;3C
2 X 16,0 mm² +16,0mm2;3C
2 X 2,5 mm² +2,5mm2;3C
2 X 35,0 mm² +16,0mm2;3C
2 X 35,0 mm² +16,0mm2;3C
2 X 6,0 mm² +6,0mm2;3C
2 X 70,0 mm² +35,0mm2;3C
3 X 10,0 mm² +10,0mm2;3C
3 X 150,0 mm² +70,0mm2;3C
3 X 16,0 mm² + 16,0mm2;4C
3 x 2,5 + 2,5mm2;4C
3 x 25 + 16mm2;4C
3#95MM² + #50MM²;4C
3#16MM² + #16MM²;4C
3#10MM² + #10MM²;4C
(3x16,0 +16,0;4C
3x2,5 +2,5;4C
3x6,0 +6,0;4C
3/C#120mm²+70;4C
3/C#150mm²+95;4C
3/C#185mm²+95;4C
3/C#240mm²+120;4C
3/C#50mm²+25;4C
3/C#6mm²+6;4C
3/C#70mm²+35;4C
3/C#95mm²+50;4C
3x#16+16mm²;4C
3x#2,5+2,5mm²;4C
3x#25 + 16mm²;4C
3x#4,0 + 4,0mm²;4C
3x#50 + 25mm²;4C
3x#6,0 + 6,0mm²;4C
3x16+16mm²;4C
3x2,5+2,5mm²;4C
3x25+16mm²;4C
3x4,0+4,0mm²;4C
3x50+25mm²;4C
3x6,0+6,0mm²;4C
3C+E;4C
3 x 6 + 6mm2;4C
3 x 120 + 70mm2;4C
3 x 120 mm² + condutor concêntrico seção 70 mm²;4C
 3 x 4 mm² + condutor concêntrico seção 4 mm²;4C
 3 x 70 mm² + condutor concêntrico seção 35 mm²;4C
3X25,0MM² + 16,0MM²;4C
3X35,0MM² + 16,0MM²;4C
3X150,0MM² + 95,0MM²;4C
3X185,0MM² + 95,0MM²;4C
3X240,0MM² + 120,0MM²;4C
3x6,0+6,0mm²;4C
3 x 25mm² + 16mm²;4C
(3/C #150 + 1/C #95) mm2;4C
(3/C #120 + 1/C #70) mm2;4C
(3/C #25 + 1/C #16) mm2;4C
(3/C #185 + 1/C #95) mm2;4C
(3/C #95 + 1/C #50) mm2;4C
(3/C #185 + 1/C #95) mm2;4C
(3/C #35 + 3/C #10) mm2;4C
(3/C #70 + 3/C #16);4C
Fibra;Leve
Caixa de Ligação;Tempo
Caixa e Ligação;Tempo
3x25+1x16mm³;4C
 3 x 16 + 16mm2;4C
 3x6mm²+1x6mm²;4C
3x120mm²+1x70mm²;4C
3 x 120 + 70mm2;4C
