Termo;Descrição Padrão
LARG. 300mm, ALT. DE ABA 50mm;300 x 50
LARG. 400mm, ALT. DE ABA 50mm;400 x 50
Largura de 100mm e altura da aba 100mm;100 x 100
Largura de 200mm e altura da aba 100mm;200 x 100
Largura de 300mm e altura da aba 100mm;300 x 100
Largura de 400mm e altura da aba 100mm;400 x 100
Largura de 500mm e altura da aba 100mm;500 x 100
Largura de 600mm e altura da aba 100mm;600 x 100
Largura de 800mm e altura da aba 100mm;800 x 100
Largura de 1000mm e altura da aba 100mm;1000 x 100
Largura de 1200mm e altura da aba 100mm;1200 x 100
LARGURA 150 x ABA 100mm;150 x 100
ABA 100mm LARGURA 150mm;150 x 100
A:150mm    B:100mm;150 x 100
A1:150mm      A1:150mm - B:100mm;150 x 100
400x200x100mm;400 x 100
LARGURA 100 MM E ALTURA DA ABA 100 MM;100 x 100
LARGURA 200 MM E ALTURA DA ABA 100 MM;200 x 100
LARGURA 300 MM E ALTURA DA ABA 100 MM;300 x 100
LARGURA 400 MM E ALTURA DA ABA 100 MM;400 x 100
LARGURA 500 MM E ALTURA DA ABA 100 MM;500 x 100
LARGURA 600 MM E ALTURA DA ABA 100 MM;600 x 100
LARGURA 800 MM E ALTURA DA ABA 100 MM;800 x 100
LARGURA 1000 MM E ALTURA DA ABA 100 MM;1000 x 100
LARGURA 1200 MM E ALTURA DA ABA 100 MM;1200 x 100
300x200x100;300 x 100
LARG. 200mm, ALT. DE ABA 50mm;
LARG. 200mm, ALT. DE ABA 50mm;
LARG. 200mm, ALT. DE ABA 50mm;
LARG. 200mm, ALT. DE ABA 50mm;
G1,5;1,5
G2,5;2,5
G4;4
G6;6
G10;10
G16;16
G25;25
G35;35
G50;50
G70;70
G95;95
G120;120
G150;150
G185;185
G240;240
G300;300
G400;400
G500;500
4,0mm²;4
6,0mm²;6
10,0mm²;10
16,0mm²;16
25,0mm²;25
35,0mm²;35
50,0mm²;50
70,0mm²;70
95,0mm²;95
120,0mm²;120
150,0mm²;150
185,0mm²;185
240,0mm²;240
300,0mm²;300
400,0mm²;400
500,0mm²;500
4,0 mm²;4
6,0 mm²;6
10,0 mm²;10
16,0 mm²;16
25,0 mm²;25
35,0 mm²;35
50,0 mm²;50
70,0 mm²;70
95,0 mm²;95
120,0 mm²;120
150,0 mm²;150
185,0 mm²;185
240,0 mm²;240
300,0 mm²;300
400,0 mm²;400
500,0 mm²;500
4.0mm²;4
6.0mm²;6
10.0mm²;10
16.0mm²;16
25.0mm²;25
35.0mm²;35
50.0mm²;50
70.0mm²;70
95.0mm²;95
120.0mm²;120
150.0mm²;150
185.0mm²;185
240.0mm²;240
300.0mm²;300
400.0mm²;400
500.0mm²;500
4.0 mm²;4
6.0 mm²;6
10.0 mm²;10
16.0 mm²;16
25.0 mm²;25
35.0 mm²;35
50.0 mm²;50
70.0 mm²;70
95.0 mm²;95
120.0 mm²;120
150.0 mm²;150
185.0 mm²;185
240.0 mm²;240
300.0 mm²;300
400.0 mm²;400
500.0 mm²;500
altura de 100 mm,  largura de 100 mm;100 x 100
altura de 100 mm,  largura de 200 mm;200 x 100
altura de 100 mm,  largura de 300 mm;300 x 100
altura de 100 mm,  largura de 400 mm;400 x 100
altura de 100 mm,  largura de 500 mm;500 x 100
altura de 100 mm,  largura de 600 mm;600 x 100
altura de 100 mm,  largura de 800 mm;800 x 100
altura de 100 mm,  largura de 1000 mm;1000 x 100
altura de 100 mm,  largura de 1200 mm;1200 x 100
100L X 100;100 x 100
200L X 100;200 x 100
300L X 100;300 x 100
400L X 100;400 x 100
500L X 100;500 x 100
600L X 100;600 x 100
800L X 100;800 x 100
1000L X 100;1000 x 100
1200L X 100;1200 x 100
50mm x 50mm;50 x 50
100mm x 50mm;100 x 50
200mm x 50mm;200 x 50
300mm x 50mm;300 x 50
400mm x 50mm;400 x 50
100mm x 100mm;100 x 100
200mm x 100mm;200 x 100
300mm x 100mm;300 x 100
400mm x 100mm;400 x 100
500mm x 100mm;500 x 100
600mm x 100mm;600 x 100
800mm x 100mm;800 x 100
1000mm x 100mm;1000 x 100
1200mm x 100mm;1200 x 100
"LARGURA: 100,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";100 x 100
"LARGURA: 200,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";200 x 100
"LARGURA: 300,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";300 x 100
"LARGURA: 400,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";400 x 100
"LARGURA: 500,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";500 x 100
"LARGURA: 600,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";600 x 100
"LARGURA: 800,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";800 x 100
"LARGURA: 1000,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";1000 x 100
"LARGURA: 1200,00 MM; ABA: DOBRADA; ALTURA DA ABA: 100,00 MM";1200 x 100
"LARGURA: 50,00 MM; ABA: RETA; ALTURA DA ABA: 50,00 MM";50 x 50
"LARGURA: 100,00 MM; ABA: RETA; ALTURA DA ABA: 50,00 MM";100 x 50
"LARGURA: 200,00 MM; ABA: RETA; ALTURA DA ABA: 50,00 MM";200 x 50
"LARGURA: 300,00 MM; ABA: RETA; ALTURA DA ABA: 50,00 MM";300 x 50
"LARGURA: 400,00 MM; ABA: RETA; ALTURA DA ABA: 50,00 MM";400 x 50
100mmx100mm;100 x 100
200mmx100mm;200 x 100
300mmx100mm;300 x 100
400mmx100mm;400 x 100
500mmx100mm;500 x 100
600mmx100mm;600 x 100
800mmx100mm;800 x 100
1000mmx100mm;1000 x 100
1200mmx100mm;1200 x 100
50mmx50mm;50 x 50
100mmx50mm;100 x 50
200mmx50mm;200 x 50
300mmx50mm;300 x 50
400mmx50mm;400 x 50
50mm (LARG) X 50mm;50 x 50
100mm (LARG) X 50mm;100 x 50
200mm (LARG) X 50mm;200 x 50
300mm (LARG) X 50mm;300 x 50
400mm (LARG) X 50mm;400 x 50
50mmX50mm;50 x 50
50mmX100mm;100 x 50
50mmX200mm;200 x 50
50mmX300mm;300 x 50
50mmX400mm;400 x 50
L=100 X A=100;100 x 100
L=200 X A=100;200 x 100
L=300 X A=100;300 x 100
L=400 X A=100;400 x 100
L=500 X A=100;500 x 100
L=600 X A=100;600 x 100
L=800 X A=100;800 x 100
L=1000 X A=100;1000 x 100
L=1200 X A=100;1200 x 100
"altura da aba: 100 mm; largura: 100 mm";100 x 100
"altura da aba: 100 mm; largura: 200 mm";200 x 100
"altura da aba: 100 mm; largura: 300 mm";300 x 100
"altura da aba: 100 mm; largura: 400 mm";400 x 100
"altura da aba: 100 mm; largura: 500 mm";500 x 100
"altura da aba: 100 mm; largura: 600 mm";600 x 100
"altura da aba: 100 mm; largura: 800 mm";800 x 100
"altura da aba: 100 mm; largura: 1000 mm";1000 x 100
"altura da aba: 100 mm; largura: 1200 mm";1200 x 100
"LARGURA 100mm; ABA 100mm";100 x 100
"LARGURA 200mm; ABA 100mm";200 x 100
"LARGURA 300mm; ABA 100mm";300 x 100
"LARGURA 400mm; ABA 100mm";400 x 100
"LARGURA 500mm; ABA 100mm";500 x 100
"LARGURA 600mm; ABA 100mm";600 x 100
"LARGURA 800mm; ABA 100mm";800 x 100
"LARGURA 1000mm; ABA 100mm";1000 x 100
"LARGURA 1200mm; ABA 100mm";1200 x 100
